Party,Party.1,Candidate,Votes,%,±
,Independent,Bernie Sanders (incumbent),183649,67.44%,-3.56%
,Republican,Lawrence Zupan,74815,27.47%,+2.57%
,Independent,Brad J. Peacock,3665,1.35%,
,Independent,Russell Beste,2763,1.02%,
,Independent,"Edward S. Gilbert, Jr.",2244,0.82%,
,Independent,Folasade Adeluola,1979,0.73%,
,Liberty Union,Reid Kane,1171,0.43%,-0.43%
,Independent,Jon Svitavsky,1130,0.42%,
,Independent,Bruce Busa,914,0.34%,
,Write-in,Write-in,294,0.11%,
Total votes,Total votes,Total votes,272330,100%,
,Independent hold,Independent hold,Independent hold,Independent hold,Independent hold
