2016 United States presidential election in Michigan,2016 United States presidential election in Michigan,2016 United States presidential election in Michigan,2016 United States presidential election in Michigan,2016 United States presidential election in Michigan,2016 United States presidential election in Michigan,2016 United States presidential election in Michigan
Party,Party.1,Candidate,Running mate,Votes,Percentage,Electoral votes
,Republican,Donald Trump,Mike Pence,2279543,47.50%,16
,Democratic,Hillary Clinton,Tim Kaine,2268839,47.27%,0
,Libertarian,Gary Johnson,William Weld,172136,3.59%,0
,Green,Jill Stein,Ajamu Baraka,51463,1.07%,0
,Constitution,Darrell Castle,Scott Bradley,16139,0.33%,0
,Independent,Evan McMullin (write-in),Mindy Finn,8177,0.17%,0
,Socialist,Mimi Soltysik,Angela Nicole Walker,2209,0.05%,0
,-,Others,-,778,0.02%,0
Totals,Totals,Totals,Totals,4799284,100.00%,16
