2016 United States presidential election in Washington (state)[4],2016 United States presidential election in Washington (state)[4],2016 United States presidential election in Washington (state)[4],2016 United States presidential election in Washington (state)[4],2016 United States presidential election in Washington (state)[4],2016 United States presidential election in Washington (state)[4],2016 United States presidential election in Washington (state)[4]
Party,Party.1,Candidate,Running mate,Votes,Percentage,Electoral votes
,Democratic,Hillary Clinton,Tim Kaine,1742718,54.30%,8
,Republican,Donald Trump,Mike Pence,1221747,38.07%,0
,Libertarian,Gary Johnson,William Weld,160879,5.01%,0
,Write-ins,,,102416,3.23%,0
,Green,Jill Stein,Ajamu Baraka,58417,1.82%,0
,Constitution,Darrell Castle,Scott Bradley,17623,0.55%,0
,Socialist Workers,Alyson Kennedy,Osborne Hart,4307,0.13%,0
,Socialism and Liberation,Gloria La Riva,Eugene Puryear,3523,0.11%,0
,Republican,Colin Powell,,0,0.00%,3
,Independent,Faith Spotted Eagle,Winona LaDuke,0,0.00%,1
Totals (excluding write-ins),Totals (excluding write-ins),Totals (excluding write-ins),Totals (excluding write-ins),3209214,100.00%,12
