2016 United States presidential election in Wisconsin,2016 United States presidential election in Wisconsin,2016 United States presidential election in Wisconsin,2016 United States presidential election in Wisconsin,2016 United States presidential election in Wisconsin,2016 United States presidential election in Wisconsin,2016 United States presidential election in Wisconsin
Party,Party.1,Candidate,Running mate,Votes,Percentage,Electoral votes
,Republican,Donald Trump,Mike Pence,1405284,47.22%,10
,Democratic,Hillary Clinton,Tim Kaine,1382536,46.45%,0
,Libertarian,Gary Johnson,William Weld,106674,3.58%,0
,Green,Jill Stein,Ajamu Baraka,31072,1.04%,0
,Constitution,Darrell Castle,Scott Bradley,12162,0.41%,0
,Independent (write-in votes),Evan McMullin,Nathan Johnson,11855,0.40%,0
,Workers World,Monica Moorehead,Lamont Lilly,1770,0.06%,0
,Independent,Rocky De La Fuente,Michael Steinberg,1502,0.05%,0
,Others / Write-In Votes,-,-,23295,0.78%,0
Totals,Totals,Totals,Totals,2976150,100.00%,10
Source: Wisconsin Elections Commission,Source: Wisconsin Elections Commission,Source: Wisconsin Elections Commission,Source: Wisconsin Elections Commission,Source: Wisconsin Elections Commission,Source: Wisconsin Elections Commission,Source: Wisconsin Elections Commission
