PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,CHUCK SCHUMER,4784218,64.72%,+6.25%
,WORKING FAMILIES,CHUCK SCHUMER,241672,3.27%,-0.73%
,INDEPENDENCE,CHUCK SCHUMER,150654,2.04%,-1.82%
,WOMEN'S EQUALITY,CHUCK SCHUMER,45401,0.61%,
,TOTAL,CHUCK SCHUMER (INCUMBENT),5221945,70.64%,+4.31%
,REPUBLICAN,WENDY LONG,1723920,23.32%,-3.65%
,CONSERVATIVE,WENDY LONG,267622,3.62%,-1.62%
,REFORM,WENDY LONG,17813,0.24%,
,TOTAL,WENDY LONG,2009355,27.18%,-5.03%
,GREEN,ROBIN LAVERNE WILSON,113413,1.53%,+0.61%
,LIBERTARIAN,ALEX MERCED,48120,0.65%,+0.11%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,"'7,392,833'",'100.0%',
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
