COUNTY,TRUMP,VOTES,CLINTON,VOTES.1,STEIN,VOTES.2,JOHNSON,VOTES.3,MCMULLIN,VOTES.4,OTHER,VOTES.5
ADA,47.91%,93752,38.68%,75677,1.60%,3138,5.10%,9984,5.74%,11226,0.97%,1892
ADAMS,71.28%,1556,19.01%,415,0.87%,19,3.80%,83,3.66%,80,1.37%,30
BANNOCK,51.41%,17180,30.95%,10342,1.55%,518,4.40%,1471,10.32%,3449,1.36%,456
BEAR LAKE,75.24%,2203,8.71%,255,0.38%,11,1.84%,54,12.50%,366,1.33%,39
BENEWAH,74.15,3103,18.40%,770,1.00%,42,3.61%,151,1.46%,61,1.39%,58
BINGHAM,65.61,10907,17.59%,2924,0.75%,124,2.51%,417,12.04%,2002,1.51%,241
BLAINE,31.15%,3340,59.83%,6416,1.64%,176,3.95%,424,2.69%,289,0.74%,79
BOISE,70.08,2673,20.37%,777,0.92%,35,4.54%,173,2.94%,112,1.16%,44
BONNER,63.71,13343,27.78%,5819,1.89%,396,3.64%,762,1.78%,372,1.19%,251
BONNEVILLE,60.38%,26699,20.19%,8930,0.90%,399,3.70%,1634,13.62%,6022,1.22%,437
BOUNDARY,73.39%,3789,18.07%,933,1.55%,80,3.12%,161,2.52%,130,1.35%,70
BUTTE,74.31%,914,13.01%,160,0.57%,7,2.03%,25,9.27%,114,0.82%,10
CAMAS,69.49%,410,18.64%,110,1.02%,6,3.90%,23,5.59%,33,1.36%,8
CANYON,64.88%,47222,23.20%,16883,1.10%,797,3.82%,2778,5.79%,4216,1.17%,889
CARIBOU,74.96%,2275,8.93%,271,0.49%,14,2.11%,64,12.26%,372,1.25%,38
CASSIA,72.74%,5949,12.67%,1036,0.45%,37,2.47%,202,10.43%,853,1.23%,101
CLARK,71.73%,203,15.55%,44,0.35%,1,1.41%,4,8.13%,23,2.82%,8
CLEARWATER,75.03%,2852,18.52%,704,1.00%,38,2.55%,97,1.89%,72,1.00%,38
CUSTER,73.61%,1777,17.69%,427,1.24%,30,2.78%,67,3.40%,82,1.28%,31
ELMORE,68.25%,5816,21.29%,1814,0.90%,77,3.90%,332,4.41%,376,1.26%,107
FRANKLIN,70.94%,3901,7.00%,385,0.55%,30,2.13%,117,16.58%,912,2.80%,154
FREMONT,71.57%,4090,11.39%,651,0.35%,20,2.22%,127,13.14%,751,1.32%,76
GEM,75.18%,5980,15.45%,1229,0.72%,57,3.03%,241,4.49%,357,1.14%,90
GOODING,72.11%,3743,17.92%,930,0.58%,30,2.12%,110,5.64%,293,1.64%,85
IDAHO,78.23%,6441,14.53%,1196,0.63%,52,3.09%,254,2.00%,165,1.52%,125
JEFFERSON,73.52%,8436,8.51%,976,0.48%,55,2.39%,274,13.59%,1560,1.52%,174
JEROME,68.79%,4644,19.69%,1329,0.77%,52,3.23%,218,6.21%,419,1.32%,89
KOOTENAI,67.03%,44449,24.53%,16264,1.12%,744,3.93%,2604,2.35%,1557,1.05%,692
LATAH,39.98%,7265,44.53%,8093,2.55%,463,6.59%,1197,3.83%,696,2.52%,459
LEMHI,73.51%,3011,17.90%,733,0.76%,31,3.37%,138,3.39%,139,1.07%,44
LEWIS,75.60%,1202,16.98%,270,0.82%,13,3.90%,62,1.07%,17,1.64%,26
LINCOLN,67.73%,1184,20.59%,360,1.03%,18,3.09%,54,5.84%,102,1.71%,30
MADISON,56.99%,8941,7.66%,1201,0.44%,69,3.90%,612,29.76%,4669,1.25%,196
MINIDOKA,71.13%,4887,16.98%,1167,0.6%,41,3.01%,207,6.74%,463,1.52%,106
NEZ PERCE,62.20%,10699,28.07%,4828,1.18%,203,5.11%,879,2.05%,352,1.39%,240
ONEIDA,74.03%,1531,8.90%,184,0.00%,0,1.79%,37,13.10%,271,2.17%,45
OWYHEE,77.76%,3052,15.06%,591,0.66%,26,2.75%,108,2.75%,108,1.02%,40
PAYETTE,74.55%,6489,17.31%,1507,0.68%,59,2.84%,247,3.61%,314,1.01%,88
POWER,60.41%,1666,25.34%,699,0.94%,26,3.34%,92,8.45%,233,1.53%,42
SHOSHONE,64.39%,3297,27.03%,1384,1.05%,54,4.28%,219,1.70%,87,1.54%,79
TETON,43.55%,2167,43.39%,2159,1.99%,99,3.70%,184,6.57%,327,0.80%,40
TWIN FALLS,66.37%,19828,20.86%,6233,1.09%,326,3.60%,1076,6.91%,2065,1.16%,346
VALLEY,54.33%,2906,35.76%,1913,0.99%,53,4.30%,230,3.63%,194,0.99%,53
WASHINGTON,73.69%,3283,17.42%,776,0.58%,26,3.10%,138,3.93%,175,1.27%,57
