2016 UNITED STATES PRESIDENTIAL ELECTION IN WISCONSIN,2016 UNITED STATES PRESIDENTIAL ELECTION IN WISCONSIN.1,2016 UNITED STATES PRESIDENTIAL ELECTION IN WISCONSIN.2,2016 UNITED STATES PRESIDENTIAL ELECTION IN WISCONSIN.3,2016 UNITED STATES PRESIDENTIAL ELECTION IN WISCONSIN.4,2016 UNITED STATES PRESIDENTIAL ELECTION IN WISCONSIN.5,2016 UNITED STATES PRESIDENTIAL ELECTION IN WISCONSIN.6
PARTY,PARTY.1,CANDIDATE,RUNNING MATE,VOTES,PERCENTAGE,ELECTORAL VOTES
,REPUBLICAN,DONALD TRUMP,MIKE PENCE,1405284,47.22%,10
,DEMOCRATIC,HILLARY CLINTON,TIM KAINE,1382536,46.45%,0
,LIBERTARIAN,GARY JOHNSON,WILLIAM WELD,106674,3.58%,0
,GREEN,JILL STEIN,AJAMU BARAKA,31072,1.04%,0
,CONSTITUTION,DARRELL CASTLE,SCOTT BRADLEY,12162,0.41%,0
,INDEPENDENT (WRITE-IN VOTES),EVAN MCMULLIN,NATHAN JOHNSON,11855,0.40%,0
,WORKERS WORLD,MONICA MOOREHEAD,LAMONT LILLY,1770,0.06%,0
,INDEPENDENT,ROCKY DE LA FUENTE,MICHAEL STEINBERG,1502,0.05%,0
,OTHERS / WRITE-IN VOTES,-,-,23295,0.78%,0
TOTALS,TOTALS,TOTALS,TOTALS,2976150,100.00%,10
SOURCE: WISCONSIN ELECTIONS COMMISSION,SOURCE: WISCONSIN ELECTIONS COMMISSION,SOURCE: WISCONSIN ELECTIONS COMMISSION,SOURCE: WISCONSIN ELECTIONS COMMISSION,SOURCE: WISCONSIN ELECTIONS COMMISSION,SOURCE: WISCONSIN ELECTIONS COMMISSION,SOURCE: WISCONSIN ELECTIONS COMMISSION
