PARTY,PARTY.1,CANDIDATE,VOTES,%,±
,DEMOCRATIC,KIRSTEN GILLIBRAND,3755489,62.02%,-4.36%
,WORKING FAMILIES,KIRSTEN GILLIBRAND,160128,2.64%,-1.12%
,INDEPENDENCE,KIRSTEN GILLIBRAND,99325,1.64%,-0.43%
,WOMEN'S EQUALITY,KIRSTEN GILLIBRAND,41989,0.69%,
,TOTAL,KIRSTEN GILLIBRAND (INCUMBENT),4056931,67.00%,-5.21%
,REPUBLICAN,CHELE CHIAVACCI FARLEY,1730439,28.58%,+5.86%
,CONSERVATIVE,CHELE CHIAVACCI FARLEY,246171,4.07%,+0.46%
,REFORM,CHELE CHIAVACCI FARLEY,21610,0.35%,
,TOTAL,CHELE CHIAVACCI FARLEY,1998220,33.00%,+6.66%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,6055151,100.00%,
,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD,DEMOCRATIC HOLD
