2016 UNITED STATES PRESIDENTIAL ELECTION IN FLORIDA[23],2016 UNITED STATES PRESIDENTIAL ELECTION IN FLORIDA[23].1,2016 UNITED STATES PRESIDENTIAL ELECTION IN FLORIDA[23].2,2016 UNITED STATES PRESIDENTIAL ELECTION IN FLORIDA[23].3,2016 UNITED STATES PRESIDENTIAL ELECTION IN FLORIDA[23].4,2016 UNITED STATES PRESIDENTIAL ELECTION IN FLORIDA[23].5,2016 UNITED STATES PRESIDENTIAL ELECTION IN FLORIDA[23].6,2016 UNITED STATES PRESIDENTIAL ELECTION IN FLORIDA[23].7
PARTY,PRESIDENTIAL CANDIDATE,POPULAR VOTE,POPULAR VOTE,ELECTORAL VOTE,UNNAMED: 5_LEVEL_1,UNNAMED: 6_LEVEL_1,UNNAMED: 7_LEVEL_1
PARTY,PRESIDENTIAL CANDIDATE,COUNT,PERCENTAGE,ELECTORAL VOTE,UNNAMED: 5_LEVEL_2,UNNAMED: 6_LEVEL_2,UNNAMED: 7_LEVEL_2
REPUBLICAN,DONALD TRUMP,4617886,49.02%,29,,,
DEMOCRATIC,HILLARY CLINTON,4504975,47.82%,0,,,
LIBERTARIAN,GARY JOHNSON,207043,2.20%,0,,,
GREEN,JILL STEIN,64399,0.68%,0,,,
CONSTITUTION,DARRELL CASTLE,16475,0.17%,0,,,
REFORM,ROCKY DE LA FUENTE,9108,0.10%,0,,,
WRITE-IN,-,25736,0.27%,0,,,
DATE,"NOVEMBER 8, 2016",TOTAL VOTERS,"REGISTERED: 12,863,773 ELIGIBLE: 14,441,877","REGISTERED: 12,863,773 ELIGIBLE: 14,441,877",,,
TURNOUT %,REGISTERED: 74.48% VAP: 66.34%,TURNOUT VOTES,"VALID VOTES: 9,420,039 INVALID VOTES: 160,450","VALID VOTES: 9,420,039 INVALID VOTES: 160,450",,,
