PARTY,PARTY.1,CANDIDATE,VOTES,%
,REPUBLICAN,DONALD TRUMP AND MIKE PENCE,216794,62.96%
,DEMOCRATIC,HILLARY CLINTON AND TIM KAINE,93758,27.23%
,LIBERTARIAN,GARY JOHNSON AND WILLIAM WELD,21434,6.22%
,WRITE-IN,WRITE-IN,6397,1.86%
,GREEN,JILL STEIN AND AJAMU BARAKA,3780,1.10%
,CONSTITUTION,DARRELL CASTLE AND SCOTT BRADLEY,1833,0.53%
,AMERICAN DELTA,ROCKY DE LA FUENTE AND MICHAEL STEINBERG,364,0.11%
MAJORITY,MAJORITY,MAJORITY,123036,35.73%
TOTAL VOTES,TOTAL VOTES,TOTAL VOTES,344360,100.00%
,REPUBLICAN WIN,REPUBLICAN WIN,REPUBLICAN WIN,REPUBLICAN WIN
