County,Clinton%,Clinton#,Trump%,Trump#,Others%,Others#,Total
Allen,26.27%,1433,66.94%,3651,6.78%,370,5454
Anderson,20.06%,672,72.69%,2435,7.25%,243,3350
Atchison,30.25%,1989,61.58%,4049,8.17%,537,6575
Barber,12.70%,286,82.15%,1850,5.15%,116,2252
Barton,17.91%,1839,76.82%,7888,5.27%,541,10268
Bourbon,21.93%,1336,72.61%,4424,5.47%,333,6093
Brown,21.38%,863,72.00%,2906,6.62%,267,4036
Butler,23.77%,6573,68.96%,19073,7.27%,2011,27657
Chase,23.08%,316,70.78%,969,6.14%,84,1369
Chautauqua,13.30%,197,83.46%,1236,3.24%,48,1481
Cherokee,23.26%,2005,71.72%,6182,5.02%,433,8620
Cheyenne,12.86%,181,83.37%,1173,3.77%,53,1407
Clark,11.94%,120,82.09%,825,5.97%,60,1005
Clay,17.72%,677,75.68%,2891,6.60%,252,3820
Cloud,19.36%,761,74.27%,2919,6.36%,250,3930
Coffey,17.87%,727,74.98%,3050,7.15%,291,4068
Comanche,11.76%,102,82.47%,715,5.77%,50,867
Cowley,28.14%,3551,65.53%,8270,6.34%,800,12621
Crawford,34.91%,5199,57.91%,8624,7.17%,1068,14891
Decatur,12.26%,178,83.33%,1210,4.41%,64,1452
Dickinson,19.60%,1609,73.43%,6029,6.97%,572,8210
Doniphan,17.38%,587,77.15%,2606,5.48%,185,3378
Douglas,62.28%,31195,29.32%,14688,8.39%,4204,50087
Edwards,16.07%,212,78.62%,1037,5.31%,70,1319
Elk,12.71%,160,83.24%,1048,4.05%,51,1259
Ellis,22.95%,2742,70.86%,8466,6.19%,739,11947
Ellsworth,19.45%,521,73.50%,1969,7.05%,189,2679
Finney,31.45%,3195,62.51%,6350,6.04%,614,10159
Ford,27.84%,2149,66.26%,5114,5.90%,455,7718
Franklin,26.37%,2892,65.53%,7185,8.10%,888,10965
Geary,36.27%,2722,56.96%,4274,6.77%,508,7504
Gove,11.09%,149,84.88%,1140,4.02%,54,1343
Graham,14.64%,188,79.83%,1025,5.53%,71,1284
Grant,18.46%,441,75.51%,1804,6.03%,144,2389
Gray,12.73%,263,82.19%,1698,5.08%,105,2066
Greeley,12.77%,83,82.15%,534,5.08%,33,650
Greenwood,17.08%,485,76.06%,2160,6.87%,195,2840
Hamilton,13.81%,121,80.48%,705,5.71%,50,876
Harper,15.24%,393,77.42%,1996,7.33%,189,2578
Harvey,33.98%,5068,58.11%,8668,7.91%,1180,14916
Haskell,18.09%,245,76.81%,1040,5.10%,69,1354
Hodgeman,12.19%,124,84.07%,855,3.74%,38,1017
