County,Clinton%,Clinton#,Trump%,Trump#,Others (excluding write-ins)%,Others (excluding write-ins)#,Total
Adams,28.32%,1299,67.21%,3083,5.64%,262,4644
Asotin,32.59%,3134,59.70%,5741,8.84%,861,9736
Benton,33.26%,26360,59.55%,47194,8.09%,6473,80027
Chelan,39.34%,13032,54.68%,18114,6.69%,2234,33380
Clallam,45.19%,17677,48.04%,18794,7.57%,2986,39457
Clark,46.70%,92757,46.54%,92441,7.48%,14962,200160
Columbia,24.37%,526,69.37%,1497,7.29%,159,2182
Cowlitz,39.60%,17908,53.48%,24185,7.88%,3599,45692
Douglas,31.89%,4918,62.28%,9603,6.58%,1022,15543
Ferry,30.94%,1098,62.05%,2202,8.36%,301,3601
Franklin,37.87%,8886,56.28%,13206,6.86%,1628,23720
Garfield,22.65%,279,69.07%,851,9.31%,116,1246
Grant,27.89%,7810,66.12%,18518,7.12%,2018,28346
Grays Harbor,42.78%,12020,50.06%,14067,8.04%,2280,28367
Island,49.26%,20960,43.39%,18465,8.05%,3451,42876
Jefferson,62.82%,12656,29.97%,6037,7.81%,1583,20276
King,72.32%,718322,21.78%,216339,6.39%,63838,998499
Kitsap,51.28%,63156,39.80%,49018,9.77%,12143,124317
Kittitas,39.81%,7489,53.69%,10100,7.21%,1366,18955
Klickitat,39.33%,4194,54.29%,5789,7.30%,786,10769
Lewis,28.54%,9654,65.02%,21992,7.33%,2503,34149
Lincoln,22.00%,1244,72.66%,4108,6.32%,361,5713
Mason,43.16%,11993,49.22%,13677,8.56%,2403,28073
Okanogan,37.24%,6298,56.82%,9610,6.92%,1183,17091
Pacific,43.52%,4620,50.49%,5360,6.87%,736,10716
Pend Oreille,28.74%,1934,64.99%,4373,7.28%,495,6802
Pierce,49.95%,172538,42.51%,146824,8.36%,29123,348485
San Juan,66.85%,7172,25.05%,2688,8.48%,914,10774
Skagit,48.07%,26690,44.55%,24736,8.12%,4542,55968
Skamania,39.97%,2232,52.44%,2928,8.49%,479,5639
Snohomish,54.60%,185227,37.81%,128255,8.38%,28691,342173
Spokane,41.75%,93767,50.50%,113435,8.82%,20044,227246
Stevens,25.78%,5767,67.78%,15161,7.71%,1749,22677
Thurston,53.62%,68798,37.90%,48624,9.26%,11988,129410
Wahkiakum,35.60%,832,57.51%,1344,7.72%,182,2358
Walla Walla,38.52%,9694,54.24%,13651,8.16%,2074,25419
Whatcom,55.47%,60340,37.32%,40599,7.96%,8734,109673
Whitman,47.66%,8146,43.31%,7403,10.15%,1756,17305
Yakima,40.61%,31291,54.16%,41735,6.08%,4724,77750
